"key","description"
"MXAutoprocIntegration_beam_vector_y","Vector Y"
"MXAutoprocIntegration_beam_vector_z","Vector Z"
"MXAutoprocIntegration_beam_x","Refined beam x"
"MXAutoprocIntegration_beam_y","Refined beam y"
"MXAutoprocIntegration_cell_a","cell a"
"MXAutoprocIntegration_cell_alpha","cell alpha"
"MXAutoprocIntegration_cell_b","cell b"
"MXAutoprocIntegration_cell_beta","cell beta"
"MXAutoprocIntegration_cell_c","cell c"
"MXAutoprocIntegration_cell_gamma","cell gamma"
"MXAutoprocIntegration_detector_distance","Refined detector distance"
"MXAutoprocIntegration_end_image_number","Last image number of the integration"
"MXAutoprocIntegration_rotation_axis_x","X position of the rotation axis"
"MXAutoprocIntegration_rotation_axis_y","Y position of the rotation axis"
"MXAutoprocIntegration_rotation_axis_z","Z position of the rotation axis"
"MXAutoprocIntegration_space_group","Space group"
"MXAutoprocIntegration_start_image_number","First image number of the integration"
"MX_aperture","Aperture size in microns"
"MX_axis_end","Rotation end angle"
"MX_axis_range","Axis range"
"MX_axis_start","Rotation start angle"
"MX_beamShape","Beam shape at sample position"
"MX_beamSizeAtSampleX","Horizontal beam size in mm at sample position"
"MX_beamSizeAtSampleY","Vertical beam size in mm at sample position"
"MX_dataCollectionId","ISPyB data collection id"
"MX_detectorDistance","Detector to sample distance in mm"
"MX_directory","Data collection directory"
"MX_exposureTime","Exposure time in s"
"MX_flux","Flux in photon/s before data collection"
"MX_fluxEnd","Flux in photon/s before data collection"
"MX_motors_name","Motor names"
"MX_motors_value","Motor positions in mm"
"MX_numberOfImages","Number of images"
"MX_oscillationOverlap","Oscillation overlap per image"
"MX_oscillationRange","Oscillation range per image"
"MX_oscillationStart","Oscillation start of data collection"
"MX_resolution","Resolution in A"
"MX_resolution_at_corner","Resolution in A"
"MX_rotation_axis","Name of the rotation axis"
"MX_scanType","mxCuBE experiment type"
"MX_startImageNumber","Data collection image start number"
"MX_template","Image file name template"
"MX_transmission","Transmission in %"
"MX_wavelength","Wavelength in A"
"MX_xBeam","Horizontal beam centre in mm"
"MX_yBeam","Vertical beam centre in mm"
"MirrorGeometry_component_index","Position of the component along the beam path. The sample is at 0, components upstream have negative component_index, components downstream have positive component_index."
"MirrorGeometry_vertical","Optional description/label. Probably only present if we are an additional reference point for components rather than the location of a real component."
"Mirror_description","description of this mirror"
"Mirror_interior_atmosphere","Any of these values: vacuum | helium | argon"
"Mirror_type","Any of these values: single: mirror with a single material as a reflecting surface, multi: mirror with stacked, multiple layers as a reflecting surface"
"PTYCHO_Axis1_name","Scan motor in the horizontal direction"
"PTYCHO_Axis1_range","Range of the moves in microns"
"PTYCHO_Axis2_name","Scan motor in the vertical direction"
"PTYCHO_Axis2_range","Range of the moves in microns"
"PTYCHO_beamSize","Beam size on the sample in microns"
"PTYCHO_countTime","Step size during scan"
"PTYCHO_darkN","Ptycho parameters"
"PTYCHO_focusToDetectorDistance","Focus to detector distance"
"PTYCHO_parameters","Ptycho parameters"
"PTYCHO_pixelSize","Ptycho parameters"
